Location,Price,Commission,TVA,Currency,Rooms,Size,Floor,Composition
Ultracentral,165000,Comision 0%,False,True,2, 33, Parter/2, Semidec
Manastur,138900,,False,True,4, 70, 8/10, Dec
Iris,92774,Comision 0%,False,True,2, 56.18, Parter/3, Semidec
Central,270000,,False,True,3, 94, 1/3, Semidec
Zorilor,285000,,False,True,4, 100, 9/12, Dec
Central,221300,,False,True,3, 75, 7/7, Semidec
Central,162000,,False,True,1, 46, Parter/3, Semidec
Manastur,299000,,False,True,4, 107, 1/1, Dec
Europa,139000,,False,True,2, 50, 2/2, Semidec
Borhanci,169800,Comision 0%,False,True,2, 60, Parter/4, Semidec
Marasti,230000,,False,True,4, 80, 4/4, Semidec
Manastur,115999,,False,True,2, 54, Parter/10, Dec
Manastur,174900,,False,True,3, 64, 10/10, Dec
Manastur,136900,Comision 0%,False,True,3, 64, Parter/4, Dec
Marasti,139000,,False,True,2, 64, 5/5, Semidec
Manastur,153000,,False,True,3, 66.6, 3/9, Semidec
Gruia,44000,,False,True,1, 18.17, 1/4, Semidec
Grigorescu,170000,,False,True,3, 70, 8/8, Semidec
Marasti,220000,,False,True,3, 67, 4/4, Semidec
Marasti,199900,,False,True,3, 98.81, 1/3, Dec
Manastur,190000,,False,True,3, 98, 5/5, Semidec
Marasti,225068,,False,True,3, 71, 4/4, Semidec
Zorilor,179000,,False,True,4, 76.22, 3/4, Dec
Gheorgheni,145000,,False,True,3, 65, 4/4, Dec
Marasti,214171,,False,True,3, 70, 3/4, Semidec
Central,340000,,False,True,3, 81, 1/4, Semidec
Grigorescu,250000,,False,True,4, 80, 2/4, Dec
Europa,155000,,False,True,2, 68, 2/2, Dec
Central,218700,,False,True,3, 77, Parter/7, Semidec
Zorilor,155646,,False,True,3, 64, 1/4, Semidec
Manastur,169000,,False,True,3, 64, 3/4, Semidec
Marasti,145000,,False,True,2, 48, 4/6, Semidec
Manastur,152000,,False,True,3, 65, 4/4, Semidec
Manastur,158000,,False,True,4, 76, 8/8, Dec
Gheorgheni,365000,,False,True,4, 112, 6/7, Semidec
Manastur,79900,,False,True,2, 35, 2/4, Semidec
Manastur,199000,,False,True,3, 86, 7/9, Dec
Marasti,165000,,False,True,3, 72, Parter/7, Dec
Dambul Rotund,125000,,False,True,2, 52, 5/6, Semidec
Manastur,155000,,False,True,3, 72, 4/8, Dec
Iris,126000,,False,True,2, 47, 1/2, Semidec
Central,179000,,False,True,3, 55, 1/1, Dec
Intre Lacuri,127000,,False,True,2, 50, 4/8, Dec
Semicentral,190000,,False,True,3, 72.24, 5/6, Semidec
Marasti,170000,,False,True,2, 58.8, 2/3, Semidec
Europa,287000,,False,True,4, 120, Parter, Dec
Gheorgheni,204500,Comision 0%,False,True,3, 65, 7/11, Semidec
Central,170000,,False,True,3, 81, 1/1, Semidec
Marasti,199990,,False,True,3, 96, 2/3, Semidec
Central,187100,,False,True,4, 91, 5/6, Semidec
Manastur,180000,Comision 0%,False,True,3, 66, 4/8, Semidec
Manastur,94000,,False,True,2, 40, 4/4, Dec
Manastur,98000,,False,True,2, 49, 4/4, Semidec
Marasti,137900,,False,True,3, 65.26, 4/4, Dec
Iris,77135,Comision 0%,False,True,2, 46.71, 3/3, Semidec
Central,139000,,False,True,1, 30, 2/3, Semidec
Gheorgheni,105000,,False,True,1, 22, 4/6, Semidec
Zorilor,165000,,False,True,3, 67, 1/5, Semidec
Manastur,176999,,False,True,4, 81, 3/4, Dec
Manastur,111428,,False,True,2, 67, 3/4, Semidec
Gara,88100,,False,True,2, 44.05, 4/8, Semidec
Campului,149999,,False,True,3, 67, 6/10, Semidec
Manastur,195000,,False,True,3, 70, 4/7, Semidec
Central,175000,,False,True,3, 59, 4/4, Semidec
Manastur,185000,,False,True,3, 75, 1/3, Dec
Manastur,250000,,False,True,4, 95, 4/8, Semidec
Gheorgheni,160000,,False,True,3, 65.06, 8/9, Dec
Horea,128000,,False,True,2, 49, 3/4, Dec
Plopilor,175000,,False,True,3, 67, Parter/4, Dec
Manastur,94000,,False,True,2, 53.5, Parter/7, Semidec
Central,329500,,False,True,3, 103.13, 2/2, Semidec
Marasti,175000,,False,True,4, 84, 8/9, Semidec
Central,195600,,False,True,4, 99.9, 1/6, Semidec
Manastur,154000,,False,True,2, 54, 5/10, Dec
Iris,129000,,False,True,2, 55, 1/4, Semidec
Manastur,176000,,False,True,4, 79, 1/4, Dec
Manastur,140000,,False,True,4, 65, 2/10, Dec
Intre Lacuri,128000,,False,True,2, 51, 4/4, Dec
Dambul Rotund,45000,,False,True,1, 21, 3/4, Semidec
Gara,155000,,False,True,3, 64, 4/5, Semidec
Grigorescu,166000,Comision 0%,False,True,3, 69, 4/4, Dec
Europa,165000,,False,True,2, 53.92, Parter/5, Semidec
Manastur,145000,,False,True,3, 53, Parter/4, Semidec
Dambul Rotund,97000,,False,True,2, 48, 4/6, Semidec
Buna Ziua,122000,,False,True,2, 41, Parter/4, Semidec
Dambul Rotund,119000,,False,True,2, 48, 6/6, Semidec
Central,358000,,False,True,3, 108, 2/3, Semidec
Grigorescu,106000,,False,True,3, 56, Parter/4, Semidec
Iris,124100,Comision 0%,False,True,3, 75.15, 2/3, Semidec
Buna Ziua,187000,,False,True,3, 70.15, 3/3, Semidec
Manastur,235000,,False,True,4, 139, 3/3, Semidec
Gheorgheni,97000,,False,True,3, 42, 4/4, Semidec
Central,189000,,False,True,3, 70, Parter/1, Semidec
Marasti,51900,,False,True,1, 21, Parter/4, Semidec
Manastur,139990,,False,True,3, 81.5, 5/6, Semidec
Manastur,96000,,False,True,2, 47, 4/4, Semidec
Central,149900,,False,True,3, 66, Parter/4, Dec
Iris,108500,,False,True,2, 40, 9/10, Semidec
Grigorescu,100000,,False,True,2, 50.12, 10/10, Dec
Marasti,145000,,False,True,2, 58, 3/4, Dec
Grigorescu,140000,,False,True,4, 83, 1/2, Semidec
Manastur,110000,,False,True,3, 58, 1/4, Semidec
Zorilor,109900,,False,True,2, 45, 2/10, Semidec
Buna Ziua,297500,Comision 0%,False,True,3, 81, 5/5, Dec
Iris,75000,,False,True,2, 42, 4/4, Semidec
Iris,71900,Comision 0%,False,True,2, 43.54, 3/3, Semidec
Manastur,94000,,False,True,2, 50, 3/3, Semidec
Gheorgheni,275000,,False,True,3, 82, 1/8, Dec
Manastur,130000,,False,True,3, 72, 1/5, Semidec
Iris,74500,,False,True,2, 39.5, 2/4, Semidec
Manastur,95238,,False,True,2, 58, 2/4, Semidec
Europa,143500,,False,True,2, 55, 1/3, Semidec
Iris,86614,Comision 0%,False,True,2, 52.45, 1/3, Semidec
Manastur,109500,,False,True,2, 58, 1/3, Semidec
Grigorescu,99000,,False,True,2, 47.61, 4/4, Dec
Manastur,118900,,False,True,2, 54, 1/3, Dec
Iris,91998,Comision 0%,False,True,2, 55.71, 2/3, Semidec
Buna Ziua,169000,,False,True,2, 65, 1/6, Semidec
Buna Ziua,158960,Comision 0%,False,True,2, 61.5, Parter/10, Semidec
Gheorgheni,155000,,False,True,2, 50, 1/7, Dec
Manastur,112500,,False,True,3, 72, Parter/3, Semidec
Manastur,75000,,False,True,2, 49, 5/6, Semidec
Manastur,139900,,False,True,3, 60, 3/7, Semidec
Central,130000,,False,True,2, 50, 1/1, Semidec
Manastur,88900,,False,True,1, 25, 8/10, Dec
Central,130000,,False,True,3, 58, 1/1, Semidec
Manastur,118000,,False,True,2, 45, 3/3, Semidec
Manastur,110000,,False,True,2, 46, 1/4, Dec
Manastur,164500,,False,True,4, 84, 8/8, Semidec
Manastur,100000,,False,True,2, 59, 3/4, Semidec
Plopilor,197500,,False,True,3, 82.5, 4/4, Dec
Manastur,67500,,False,True,1, 24.85, 1/4, Semidec
Manastur,106000,,False,True,2, 40, 1/8, Dec
Marasti,110000,,False,True,2, 45, 4/5, Semidec
Iris,66000,,False,True,1, 35, 2/2, Semidec
Manastur,86700,,False,True,2, 56, 1/4, Semidec
Buna Ziua,125000,,False,True,2, 45.5, 10/10, Semidec
Iris,116785,Comision 0%,False,True,3, 70.72, 1/3, Semidec
Manastur,120000,,False,True,3, 54, 1/4, Dec
Dambul Rotund,59000,,False,True,2, 30, 3/3, Semidec
Buna Ziua,127000,,False,True,2, 50, 2/5, Semidec
Manastur,80000,,False,True,2, 36, 4/4, Semidec
Zorilor,140000,,False,True,3, 65, 4/4, Dec
Dambul Rotund,46900,,False,True,2, 42, Parter/2, Semidec
Marasti,189000,,False,True,3, 63, 4/9, Dec
Marasti,178000,,False,True,3, 65, 1/4, Dec
Zorilor,163000,,False,True,3, 108, Ultimele 2 e/3, Dec
Borhanci,129242,,False,True,2, 53, 3/3, Semidec
Semicentral,121500,Comision 0%,True,True,1, 45.36, 3/6, Semidec
Central,235000,Comision 0%,False,True,3, 73.7, 2/7, Dec
Ultracentral,450000,Comision 0%,False,True,5, 106, 1/1, Dec
Manastur,175000,,False,True,4, 78, 2/4, Circular]
Marasti,157900,,False,True,2, 55, 3/8, Semidec
Grigorescu,175000,,False,True,3, 69, 4/4, Semidec
Manastur,103000,,False,True,2, 58, 1/3, Semidec
Ultracentral,299900,,False,True,3, 70, 8/8, Semidec
Manastur,82000,,False,True,1, 40, 1/3, Dec
Zorilor,120000,,False,True,2, 46.33, 7/14, Semidec
Marasti,139000,,False,True,2, 62, 1/5, Semidec
Sopor,168000,,False,True,2, 42, 4/10, Semidec
Iris,110000,,False,True,3, 70, 3/4, Semidec
Bulgaria,145000,,False,True,2, 54, 6/6, Dec
Marasti,115000,,False,True,1, 38, 6/7, Dec
Gheorgheni,145000,,False,True,2, 46, 3/4, Semidec
Gheorgheni,107000,,False,True,1, 41, 4/8, Dec
Zorilor,165000,,False,True,3, 65, Parter/4, Dec
Manastur,75000,,False,True,1, 30, 6/10, Semidec
Marasti,260000,,False,True,3, 94, 5/5, Semidec
Sopor,285000,,False,True,4, 115.08, 6/7, Dec
Semicentral,187100,Comision 0%,True,True,4, 91, 5/6, Dec
Marasti,133000,,False,True,2, 50, 4/5, Dec
Zorilor,184500,,False,True,2, 55, 2/6, Semidec
Manastur,120000,,False,True,2, 60, 4/4, Dec
Central,164000,,False,True,2, 47, 3/3, Semidec
Gheorgheni,150000,,False,True,2, 48, 3/10, Semidec
Manastur,68000,,False,True,1, 28.5, Parter/4, Semidec
Manastur,145000,,False,True,2, 52, 2/4, Dec
Zorilor,80400,,True,True,1, 38, 1/4, Dec
Zorilor,139000,,False,True,3, 66, 4/4, Dec
Buna Ziua,149000,,False,True,2, 58, 2/3, Semidec
Marasti,79000,,False,True,1, 36, 1/4, Semidec
Intre Lacuri,295000,,False,True,3, 71, 6/10, Dec
Gheorgheni,89400,,False,True,1, 32, Parter/10, Dec
Buna Ziua,115000,,False,True,2, 46, Parter/3, Semidec
Zorilor,184000,,False,True,2, 55, 4/10, Semidec
Semicentral,215000,,False,True,2, 74, 1/1, Semidec
Marasti,135000,,False,True,2, 45, 9/10, Dec
Zorilor,175000,,False,True,2, 57, 12/14, Semidec
Marasti,187000,,False,True,2, 59, 5/8, Dec
Gheorgheni,132000,,False,True,2, 55, Parter/4, Semidec
Grigorescu,170000,,False,True,3, 69, 4/4, Dec
Marasti,110000,,False,True,2, 44.5, 4/6, Semidec
Central,195000,,False,True,3, 63, 1/4, Semidec
Gheorgheni,150000,,False,True,2, 46, 3/4, Semidec
Andrei Muresanu,87000,,False,True,2, 54, Demisol/3, Semidec
Marasti,64900,,False,True,1, 24, 4/4, Dec
Zorilor,165000,,False,True,3, 68, Parter/4, Dec
Becas,140000,,False,True,2, 43, 2/2, Semidec
Iris,129000,,False,True,2, 55, 1/3, Semidec
Semicentral,195600,Comision 0%,True,True,4, 99.8, 1/6, Dec
Gheorgheni,119000,,False,True,2, 50, Parter/4, Semidec
Buna Ziua,269000,,False,True,3, 72, 8/9, Semidec
Europa,198500,,False,True,3, 71, 1/2, Semidec
Zorilor,115000,,False,True,1, 40, Parter/8, Circular]
Central,144900,,False,True,2, 40, Parter/1, Semidec
Zorilor,119900,,False,True,1, 37, 2/3, Dec
Central,349000,,False,True,3, 81, 1/2, Dec
Dambul Rotund,89000,,False,True,2, 41.3, 6/6, Semidec
Central,72000,,False,True,1, 21, 4/4, Dec
Gruia,118000,,False,True,2, 38, 4/4, Dec
Marasti,179000,Comision 0%,False,True,3, 72, 6/7, Dec
Manastur,150000,,False,True,4, 70, 8/10, Dec
Marasti,160000,,False,True,3, 64, Parter/4, Dec
Marasti,167000,Comision 0%,False,True,2, 55.2, 6/8, Semidec
Gruia,90000,,False,True,1, 39, 3/3, Dec
Marasti,77000,Comision 0%,False,True,1, 28, 4/8, Dec
Marasti,167000,Comision 0%,False,True,2, 55.2, 6/8, Semidec
Gruia,90000,,False,True,1, 39, 3/3, Dec
Gheorgheni,98900,,False,True,2, 44, 8/10, Semidec
Buna Ziua,155000,,False,True,2, 52, 1/6, Semidec
Marasti,142000,,False,True,2, 54, 1/4, Semidec
Gheorgheni,109500,,False,True,2, 46, Parter/4, Semidec
Manastur,137000,Comision 0%,False,True,2, 50, 1, Semidec
Manastur,92500,,False,True,1, 35, 2/5, Dec
Central,117000,,False,True,1, 38, 3/3, Dec
Marasti,52000,,False,True,1, 21, Parter/4, Semidec
Buna Ziua,184900,,False,True,2, 52, 2/5, Dec
Plopilor,164000,Comision 0%,False,True,2, 58, 4/6, Dec
Central,320000,Comision 0%,False,True,5, 128, 3/3, Dec
Marasti,133000,,False,True,2, 52, 1/5, Semidec
Ultracentral,350000,,False,True,3, 90, 1/1, Circular]
Buna Ziua,235000,,False,True,3, 82, Parter/7, Dec
Gheorgheni,210000,Comision 0%,False,True,2, 55, Parter/6, Semidec
Manastur,90000,,False,True,2, 49, Parter/4, Semidec
Aurel Vlaicu,125000,,False,True,2, 50, 1/8, Dec
Central,650000,Comision 0%,False,True,5, 152, Parter, Dec
Exterior Vest,89000,Comision 0%,False,True,3, 63, Parter/3, Dec
Andrei Muresanu,142000,,False,True,2, 52, 1/4, Semidec
Central,170000,Comision 0%,False,True,3, 81, 1/1, Semidec
Buna Ziua,590000,Comision 0%,False,True,4, 200, 3/3, Dec
Manastur,85000,,False,True,2, 44, 1/4, Semidec
Manastur,160000,Comision 0%,False,True,3, 79, Parter, Dec
Gheorgheni,89000,,False,True,1, 28, 3/10, Dec
Grigorescu,124900,,False,True,2, 46, 3/4, Semidec
Gheorgheni,127990,Comision 0%,False,True,2, 50, Parter/10, Semidec
Plopilor,186000,,False,True,3, 69, 1/6, Dec
Gheorgheni,185000,Comision 0%,False,True,3, 61, 1, Dec
Andrei Muresanu,138000,,False,True,2, 52, Parter/4, Dec
Gara,158000,,False,True,3, 64, 4/5, Semidec
Iris,165000,,False,True,3, 63, 6/8, Dec
Intre Lacuri,295000,,True,True,2, 71, 6/10, Semidec
Zorilor,299000,,False,True,4, 120, 2/3, Dec
Manastur,81980,,False,True,1, 32, 1/10, Semidec
Zorilor,107000,Comision 0%,False,True,1, 38, Parter/4, Nedec
Marasti,264990,,False,True,3, 75, 4/6, Dec
Borhanci,245000,,False,True,3, 70, 2/2, Dec
Manastur,115000,,False,True,2, 43, 1/10, Dec
Buna Ziua,275000,,False,True,4, 96, Parter/3, Semidec
Central,109900,,False,True,2, 45, Parter/4, Dec
Buna Ziua,159000,,False,True,2, 53, 6/9, Semidec
Buna Ziua,235000,Comision 0%,False,True,3, 77, 1/3, Semidec
Manastur,134900,,False,True,2, 51, 1/2, Dec
Borhanci,147000,,False,True,2, 52, 1/4, Semidec
Manastur,155000,Comision 0%,False,True,3, 65, 4/4, Dec
Manastur,185000,,False,True,3, 75, 1/3, Semidec
Marasti,270000,,False,True,4, 100, 6/7, Dec
Andrei Muresanu,170000,Comision 0%,False,True,2, 63.23, 4/4, Semidec
Buna Ziua,224000,,False,True,3, 73, 1/2, Semidec
Gheorgheni,93255,Comision 0%,True,True,1, 37.39, 5/7, Dec
Gheorgheni,93254,Comision 0%,True,True,1, 36.91, 2/7, Semidec
Marasti,152000,,False,True,2, 50.4, 6/8, Semidec
Gheorgheni,150000,,False,True,2, 45, 3/4, Semidec
Manastur,234900,,False,True,4, 105, Parter/10, Dec
Gheorgheni,147000,,False,True,2, 51, 8/10, Dec
Borhanci,225000,,False,True,3, 80, 2/3, Dec
Europa,178000,,False,True,2, 58, Parter/8, Dec
Gheorgheni,129500,,False,True,2, 55, Parter/4, Semidec
Buna Ziua,155000,,False,True,2, 55, 1/6, Semidec
Marasti,127000,,False,True,2, 52, Parter/4, Dec
Ultracentral,205000,,False,True,3, 70, 1/4, Dec
Buna Ziua,390000,Comision 0%,False,True,3, 113, 5/6, Dec
Manastur,158000,,False,True,4, 76, 8/8, Dec
Sopor,173000,,False,True,2, 54, 3/7, Semidec
Gheorgheni,135000,,False,True,2, 44, Parter/10, Semidec
Marasti,74000,Comision 0%,False,True,1, 23, Parter/4, Nedec
Borhanci,173000,,False,True,3, 61, 1/4, Dec
Buna Ziua,129000,,False,True,2, 41, Parter/3, Semidec
Marasti,159000,,False,True,2, 54, 2/5, Dec
Intre Lacuri,124990,,False,True,2, 50, 4/4, Dec
Manastur,150000,,False,True,3, 68, 6/10, Semidec
Plopilor,175000,,False,True,3, 65, 3/4, Dec
Manastur,169900,,False,True,3, 76, 2/3, Dec
Intre Lacuri,169900,,False,True,3, 68, 9/9, Dec
Horea,99000,,False,True,2, 44, 2/4, Semidec
Iris,95000,Comision 0%,False,True,1, 36.1, 10/11, Dec
Marasti,209000,,False,True,3, 68, 1/4, Dec
Intre Lacuri,189000,,False,True,3, 65.88, 9/9, Semidec
Marasti,245000,,False,True,3, 95, 1/4, Semidec
Iris,154990,,False,True,3, 63, 1/3, Dec
Gheorgheni,137500,,False,True,2, 46, 6/10, Semidec
Semicentral,99000,,False,True,2, 45, 2/4, Semidec
Intre Lacuri,139000,,False,True,3, 64.5, 4/4, Dec
Gheorgheni,165000,,False,True,2, 55, Parter/10, Semidec
Buna Ziua,185000,,False,True,2, 56, 1/3, Semidec
Europa,142000,,False,True,2, 55.8, 1/3, Semidec
Gheorgheni,235000,,False,True,3, 74, 2/7, Dec
Gheorgheni,75000,,False,True,2, 27, 3/4, Semidec
Gruia,107890,,False,True,3, 66, Parter/3, Dec
Gheorgheni,107000,,False,True,2, 44, Parter/10, Semidec
Buna Ziua,212000,,False,True,3, 86, 2/6, Semidec
Marasti,149000,,False,True,2, 54, Parter/4, Dec
Manastur,89000,,False,True,2, 38, 4/4, Dec
Andrei Muresanu,169990,,False,True,2, 50, 3/4, Semidec
Bulgaria,128000,Comision 0%,False,True,2, 44, 3/7, Dec
Grigorescu,116000,,False,True,2, 46, Parter/4, Semidec
Central,480000,Comision 0%,False,True,3, 100, 3/3, Semidec
Someseni,120000,,True,True,2, 50, Parter/2, Semidec
Central,88000,Comision 0%,False,True,1, 32.42, Parter/2, Dec
Grigorescu,100000,,False,True,2, 48, 4/4, Semidec
Central,67000,,False,True,1, 40, Demisol/3, Dec
Gheorgheni,104000,,False,True,1, 41, 4/7, Dec
Buna Ziua,214000,,False,True,4, 96, Parter/2, Semidec
Manastur,82500,,False,True,2, 36, 4/4, Semidec
Marasti,152000,,False,True,2, 54, 3/10, Semidec
Marasti,135000,,False,True,2, 46, 9/10, Dec
Manastur,180000,,False,True,3, 84, 4/4, Semidec
Manastur,170000,,False,True,2, 42, 6/25, Dec
Central,215000,,False,True,3, 59, 5/5, Semidec
Grigorescu,168000,,False,True,3, 67, 4/4, Dec
Grigorescu,128000,,False,True,2, 45, 4/4, Dec
Marasti,132000,,False,True,2, 55, Parter/4, Semidec
Gheorgheni,129000,,False,True,2, 47, 7/10, Semidec
Borhanci,149999,,False,True,2, 56, 1/3, Dec
Gara,228000,,True,True,3, 85, Parter/6, Semidec
Iris,129999,Comision 0%,True,True,2, 55.35, 1/4, Semidec
Manastur,135000,,False,True,3, 65, 4/4, Dec
Andrei Muresanu,170000,,False,True,2, 64, 4/4, Semidec
Semicentral,185000,,False,True,2, 58, 5/6, Semidec
Zorilor,175000,,False,True,4, 76, 3/4, Dec
Zorilor,165000,,False,True,3, 68, Parter/4, Dec
Zorilor,177000,,False,True,4, 78, 3/4, Dec
Europa,166000,,False,True,3, 61, Parter/3, Semidec
Iris,129999,Comision 0%,True,True,2, 55.49, 1/4, Semidec
Plopilor,175000,,False,True,3, 63, 3/4, Dec
Gara,153000,,False,True,3, 64, 4/5, Semidec
Intre Lacuri,145000,,False,True,3, 64, 4/4, Dec
Central,97000,,False,True,2, 37, Parter, Semidec
Gheorgheni,123000,,False,True,2, 44, Parter/10, Semidec
Zorilor,139000,,False,True,3, 66, 4/4, Dec
Gheorgheni,153000,,False,True,2, 47, 9/11, Dec
Gheorgheni,159000,,False,True,2, 60, 2/4, Semidec
Dambul Rotund,130000,,False,True,2, 48, 6/6, Semidec
Buna Ziua,165000,,False,True,2, 66, 4/6, Semidec
Manastur,210000,,False,True,3, 86, 1/4, Dec
Sopor,220000,Comision 0%,False,True,3, 66.43, 5, Semidec
Gheorgheni,120000,,False,True,2, 52, Parter/4, Semidec
Manastur,157000,,False,True,4, 76, 8/8, Dec
Gheorgheni,129000,,False,True,2, 43, 8/10, Semidec
Gheorgheni,127000,,False,True,2, 55, Parter/4, Semidec
Manastur,175000,,False,True,3, 75, 5/8, Dec
Marasti,126000,,False,True,1, 48, 5/10, Dec
Iris,159000,,False,True,3, 63, 8/9, Semidec
Iris,180000,,False,True,3, 90, 7/7, Semidec
Gheorgheni,106000,,False,True,2, 46, Parter/4, Semidec
Iris,160000,,False,True,3, 64, 6/10, Semidec
Grigorescu,170000,,False,True,4, 80, 4/4, Semidec
Zorilor,154900,,False,True,2, 50, Parter/3, Dec
Marasti,178000,,False,True,3, 72, 6/7, Dec
Marasti,155000,,False,True,2, 55, 3/10, Semidec
Buna Ziua,185000,,False,True,3, 74, 1/3, Semidec
Marasti,160000,,False,True,3, 65, Parter/4, Dec
Sopor,170000,Comision 0%,False,True,2, 56.47, 6, Semidec
Borhanci,154000,,False,True,2, 57.7, 4/4, Semidec
Semicentral,195000,,False,True,3, 86, 5/5, Semidec
Borhanci,192500,Comision 0%,True,True,3, 79, 3/3, Semidec
Dambul Rotund,116500,,False,True,2, 50, Parter/2, Dec
Someseni,225000,Comision 0%,False,True,3, 70.6, Ultimele 2 e/2, Semidec
Marasti,140000,,False,True,2, 62, 5/5, Semidec
Manastur,140000,,False,True,3, 64, 4/4, Semidec
Manastur,110000,,False,True,2, 47, Parter/10, Dec
Manastur,175000,,False,True,3, 63.5, 6/9, Dec
Zorilor,138000,,False,True,3, 64, 4/4, Dec
Manastur,134000,,False,True,3, 64, 4/4, Semidec
Buna Ziua,147000,,False,True,2, 52, 1/6, Semidec
Gheorgheni,180000,,False,True,3, 62, 3/4, Dec
Marasti,145000,,False,True,3, 65, 4/4, Dec
Central,320000,,True,True,4, 117, 3/6, Semidec
Zorilor,178000,,False,True,3, 64, 2/4, Dec
Manastur,150000,,False,True,3, 65, 4/4, Dec
Grigorescu,135000,,False,True,3, 50, 9/10, Dec
Intre Lacuri,127000,,False,True,2, 51, 4/8, Dec
Grigorescu,143000,,False,True,2, 50, 10/10, Dec
Iris,170000,,False,True,3, 54, 3/10, Dec
Marasti,180000,,False,True,4, 90, Parter/4, Dec
Manastur,114000,,False,True,2, 54, Parter/4, Semidec
Iris,162000,,False,True,3, 62, Parter/4, Dec
Borhanci,137000,,False,True,2, 56, Parter/2, Semidec
Buna Ziua,127000,,False,True,2, 41, Parter/4, Semidec
Manastur,106000,,False,True,2, 52, 5/9, Semidec
Manastur,140000,,False,True,3, 62, 5/8, Dec
Gheorgheni,107000,,False,True,2, 45, 2/10, Semidec
Central,235000,,False,True,3, 87, 1/4, Semidec
Manastur,135000,,False,True,3, 62, 5/8, Dec
Marasti,126500,,False,True,2, 49.1, 8/9, Semidec
Gheorgheni,125000,,False,True,2, 43, 8/10, Semidec
Gheorgheni,128000,,False,True,2, 48, Parter/4, Dec
Central,340000,Comision 0%,False,True,3, 154, 2/3, Dec
Grigorescu,225000,,False,True,4, 80, 2/4, Dec
Dambul Rotund,140000,,False,True,3, 59, 5/6, Dec
Grigorescu,156000,,False,True,3, 60, 9/10, Semidec
Marasti,180000,,False,True,4, 80, 2/4, Dec
Marasti,149000,,False,True,3, 71, Parter/4, Dec
Dambul Rotund,116000,,False,True,3, 50, Parter/3, Semidec
Plopilor,200000,,False,True,3, 90, 4/4, Dec
Manastur,96000,,False,True,2, 35, 4/4, Semidec
Marasti,262000,,False,True,3, 75, 4, Dec
Manastur,208000,,False,True,4, 92, 1/8, Dec
Marasti,167000,,False,True,2, 55, 6/7, Semidec
Manastur,145000,,False,True,3, 54, 1/4, Semidec
Intre Lacuri,189000,,False,True,3, 66, 9/9, Dec
Dambul Rotund,73500,Comision 0%,True,True,2, 48.82, 3/3, Semidec
Marasti,142000,Comision 0%,False,True,3, 65.25, 4/4, Dec
Dambul Rotund,125000,,False,True,2, 57, 4/6, Semidec
Marasti,167000,,False,True,2, 56, 6/8, Dec
Grigorescu,145000,Comision 0%,False,True,3, 48, 9/10, Semidec
Gruia,118000,,False,True,2, 38, 4/4, Dec
Sopor,173000,,False,True,2, 54, 3/10, Semidec
Marasti,121500,,False,True,2, 49, 8/9, Semidec
Intre Lacuri,152000,,False,True,3, 67, 2/6, Dec
Manastur,63000,,False,True,1, 24, Parter/4, Semidec
Grigorescu,235000,,False,True,4, 100, 3/4, Dec
Gruia,145000,,False,True,3, 72, 4/4, Dec
Borhanci,225000,,False,True,3, 80, 2/3, Semidec
Zorilor,135000,,False,True,3, 54.5, 10/14, Semidec
Dambul Rotund,110000,,False,True,2, 52, 1/6, Dec
Manastur,113000,,False,True,2, 43, Parter/4, Dec
Gheorgheni,289000,,False,True,3, 115, 1/8, Dec
Gheorgheni,129000,,False,True,2, 51, 10/10, Dec
Borhanci,218000,,False,True,3, 80, 2/3, Semidec
Gheorgheni,136000,,False,True,2, 53, 6/10, Dec
Zorilor,106000,,False,True,1, 36, 1/5, Dec
Marasti,215000,,False,True,3, 67, 2/10, Semidec
Intre Lacuri,185000,,False,True,3, 70, Parter/6, Dec
Zorilor,179000,,False,True,4, 88, 5/5, Dec
Marasti,189000,,False,True,3, 68.5, 3/4, Dec
Manastur,127000,,False,True,2, 52, 3/4, Semidec
